AverageTemperature,date
7.086,1743-11-01
7.193,1743-12-01
7.299,1744-01-01
7.406,1744-02-01
7.512,1744-03-01
7.619,1744-04-01
9.339,1744-05-01
12.379,1744-06-01
13.499,1744-07-01
12.334,1744-08-01
11.17,1744-09-01
8.31,1744-10-01
6.376,1744-11-01
4.014,1744-12-01
3.17,1745-01-01
2.659,1745-02-01
3.923,1745-03-01
6.45,1745-04-01
6.406,1745-05-01
6.362,1745-06-01
6.317,1745-07-01
6.273,1745-08-01
6.229,1745-09-01
6.185,1745-10-01
6.14,1745-11-01
6.096,1745-12-01
6.052,1746-01-01
6.008,1746-02-01
5.963,1746-03-01
5.919,1746-04-01
5.875,1746-05-01
5.831,1746-06-01
5.786,1746-07-01
5.742,1746-08-01
5.698,1746-09-01
5.654,1746-10-01
5.609,1746-11-01
5.565,1746-12-01
5.521,1747-01-01
5.477,1747-02-01
5.432,1747-03-01
5.388,1747-04-01
5.344,1747-05-01
5.3,1747-06-01
5.255,1747-07-01
5.211,1747-08-01
5.167,1747-09-01
5.123,1747-10-01
5.078,1747-11-01
5.034,1747-12-01
4.99,1748-01-01
4.946,1748-02-01
4.901,1748-03-01
4.857,1748-04-01
4.813,1748-05-01
4.769,1748-06-01
4.724,1748-07-01
4.68,1748-08-01
4.636,1748-09-01
4.592,1748-10-01
4.547,1748-11-01
4.503,1748-12-01
4.459,1749-01-01
4.415,1749-02-01
4.37,1749-03-01
4.326,1749-04-01
4.282,1749-05-01
4.238,1749-06-01
4.193,1749-07-01
4.149,1749-08-01
4.105,1749-09-01
4.061,1749-10-01
4.016,1749-11-01
3.972,1749-12-01
3.928,1750-01-01
6.654,1750-02-01
7.611,1750-03-01
7.471,1750-04-01
10.242,1750-05-01
12.493,1750-06-01
15.674,1750-07-01
14.231,1750-08-01
12.257,1750-09-01
6.613,1750-10-01
5.012,1750-11-01
3.412,1750-12-01
4.016,1751-01-01
1.677,1751-02-01
6.671,1751-03-01
6.59,1751-04-01
9.698,1751-05-01
12.805,1751-06-01
14.119,1751-07-01
14.014,1751-08-01
10.763,1751-09-01
8.924,1751-10-01
7.084,1751-11-01
5.245,1751-12-01
3.406,1752-01-01
4.83,1752-02-01
6.254,1752-03-01
6.519,1752-04-01
6.857,1752-05-01
7.195,1752-06-01
7.534,1752-07-01
7.872,1752-08-01
8.21,1752-09-01
8.548,1752-10-01
7.28,1752-11-01
5.524,1752-12-01
1.987,1753-01-01
3.916,1753-02-01
7.009,1753-03-01
7.111,1753-04-01
10.227,1753-05-01
13.838,1753-06-01
14.392,1753-07-01
13.309,1753-08-01
12.073,1753-09-01
9.376,1753-10-01
5.015,1753-11-01
2.86,1753-12-01
3.517,1754-01-01
2.468,1754-02-01
3.125,1754-03-01
7.574,1754-04-01
11.067,1754-05-01
12.87,1754-06-01
13.341,1754-07-01
13.911,1754-08-01
11.396,1754-09-01
9.771,1754-10-01
6.543,1754-11-01
4.483,1754-12-01
1.115,1755-01-01
1.296,1755-02-01
4.072,1755-03-01
9.085,1755-04-01
9.81,1755-05-01
14.674,1755-06-01
14.436,1755-07-01
12.714,1755-08-01
11.02,1755-09-01
8.392,1755-10-01
5.8,1755-11-01
4.244,1755-12-01
5.933,1756-01-01
6.561,1756-02-01
5.461,1756-03-01
6.389,1756-04-01
9.688,1756-05-01
13.995,1756-06-01
14.765,1756-07-01
13.17,1756-08-01
12.612,1756-09-01
8.115,1756-10-01
4.059,1756-11-01
1.685,1756-12-01
1.054,1757-01-01
4.31,1757-02-01
4.995,1757-03-01
7.708,1757-04-01
10.176,1757-05-01
14.264,1757-06-01
17.283,1757-07-01
14.523,1757-08-01
12.329,1757-09-01
6.063,1757-10-01
6.248,1757-11-01
3.066,1757-12-01
0.757,1758-01-01
3.622,1758-02-01
5.136,1758-03-01
5.897,1758-04-01
10.933,1758-05-01
13.03,1758-06-01
12.809,1758-07-01
13.538,1758-08-01
10.418,1758-09-01
6.388,1758-10-01
5.902,1758-11-01
3.948,1758-12-01
6.024,1759-01-01
6.375,1759-02-01
6.08,1759-03-01
6.901,1759-04-01
9.454,1759-05-01
13.285,1759-06-01
15.13,1759-07-01
14.599,1759-08-01
12.107,1759-09-01
9.312,1759-10-01
3.959,1759-11-01
0.959,1759-12-01
0.654,1760-01-01
3.673,1760-02-01
3.878,1760-03-01
7.328,1760-04-01
9.635,1760-05-01
12.828,1760-06-01
13.69,1760-07-01
13.522,1760-08-01
12.498,1760-09-01
7.892,1760-10-01
5.798,1760-11-01
5.002,1760-12-01
3.194,1761-01-01
5.507,1761-02-01
7.29,1761-03-01
6.942,1761-04-01
11.295,1761-05-01
14.384,1761-06-01
15.451,1761-07-01
14.887,1761-08-01
12.5,1761-09-01
6.836,1761-10-01
5.618,1761-11-01
1.262,1761-12-01
5.954,1762-01-01
4.162,1762-02-01
3.127,1762-03-01
9.016,1762-04-01
10.363,1762-05-01
12.853,1762-06-01
14.534,1762-07-01
12.504,1762-08-01
11.269,1762-09-01
5.741,1762-10-01
4.963,1762-11-01
2.612,1762-12-01
0.524,1763-01-01
4.876,1763-02-01
4.075,1763-03-01
6.413,1763-04-01
8.239,1763-05-01
12.207,1763-06-01
14.069,1763-07-01
13.496,1763-08-01
11.239,1763-09-01
7.235,1763-10-01
5.702,1763-11-01
5.281,1763-12-01
4.425,1764-01-01
5.102,1764-02-01
4.557,1764-03-01
6.53,1764-04-01
10.718,1764-05-01
11.852,1764-06-01
14.258,1764-07-01
13.242,1764-08-01
10.508,1764-09-01
8.003,1764-10-01
4.916,1764-11-01
3.476,1764-12-01
5.11,1765-01-01
1.621,1765-02-01
5.723,1765-03-01
7.322,1765-04-01
10.087,1765-05-01
11.699,1765-06-01
13.227,1765-07-01
13.437,1765-08-01
11.338,1765-09-01
8.596,1765-10-01
4.313,1765-11-01
2.522,1765-12-01
1.642,1766-01-01
2.988,1766-02-01
4.55,1766-03-01
7.822,1766-04-01
8.43,1766-05-01
12.478,1766-06-01
14.107,1766-07-01
14.527,1766-08-01
11.953,1766-09-01
8.592,1766-10-01
7.074,1766-11-01
3.566,1766-12-01
0.331,1767-01-01
5.984,1767-02-01
5.237,1767-03-01
6.168,1767-04-01
8.906,1767-05-01
11.257,1767-06-01
12.765,1767-07-01
14.513,1767-08-01
12.557,1767-09-01
8.434,1767-10-01
7.417,1767-11-01
3.667,1767-12-01
1.378,1768-01-01
4.292,1768-02-01
4.23,1768-03-01
7.131,1768-04-01
10.122,1768-05-01
12.277,1768-06-01
13.738,1768-07-01
14.038,1768-08-01
10.63,1768-09-01
8.273,1768-10-01
5.545,1768-11-01
4.77,1768-12-01
3.383,1769-01-01
3.347,1769-02-01
5.045,1769-03-01
7.362,1769-04-01
10.112,1769-05-01
11.903,1769-06-01
14.341,1769-07-01
13.311,1769-08-01
11.76,1769-09-01
6.729,1769-10-01
5.433,1769-11-01
4.764,1769-12-01
4.245,1770-01-01
5.274,1770-02-01
2.438,1770-03-01
5.517,1770-04-01
9.084,1770-05-01
11.592,1770-06-01
13.43,1770-07-01
14.049,1770-08-01
12.667,1770-09-01
7.718,1770-10-01
4.995,1770-11-01
4.391,1770-12-01
2.27,1771-01-01
2.996,1771-02-01
2.8,1771-03-01
4.672,1771-04-01
10.506,1771-05-01
12.584,1771-06-01
13.83,1771-07-01
13.277,1771-08-01
11.019,1771-09-01
8.83,1771-10-01
5.916,1771-11-01
5.921,1771-12-01
1.559,1772-01-01
2.067,1772-02-01
3.84,1772-03-01
6.112,1772-04-01
8.741,1772-05-01
13.506,1772-06-01
14.311,1772-07-01
14.153,1772-08-01
11.292,1772-09-01
10.103,1772-10-01
7.042,1772-11-01
5.148,1772-12-01
3.965,1773-01-01
2.715,1773-02-01
5.697,1773-03-01
7.453,1773-04-01
9.358,1773-05-01
12.296,1773-06-01
13.656,1773-07-01
14.617,1773-08-01
11.545,1773-09-01
8.729,1773-10-01
4.885,1773-11-01
4.061,1773-12-01
0.595,1774-01-01
4.106,1774-02-01
5.16,1774-03-01
7.457,1774-04-01
11.248,1774-05-01
13.025,1774-06-01
14.101,1774-07-01
14.251,1774-08-01
11.079,1774-09-01
8.811,1774-10-01
3.891,1774-11-01
2.919,1774-12-01
4.597,1775-01-01
6.094,1775-02-01
5.815,1775-03-01
8.2,1775-04-01
11.057,1775-05-01
13.448,1775-06-01
14.956,1775-07-01
13.986,1775-08-01
12.359,1775-09-01
8.386,1775-10-01
4.773,1775-11-01
4.197,1775-12-01
-1.225,1776-01-01
4.306,1776-02-01
5.963,1776-03-01
7.821,1776-04-01
9.214,1776-05-01
12.79,1776-06-01
14.85,1776-07-01
13.862,1776-08-01
10.943,1776-09-01
9.089,1776-10-01
5.751,1776-11-01
4.545,1776-12-01
3.028,1777-01-01
2.787,1777-02-01
5.631,1777-03-01
5.915,1777-04-01
10.44,1777-05-01
11.78,1777-06-01
13.496,1777-07-01
14.418,1777-08-01
12.614,1777-09-01
8.96,1777-10-01
6.5,1777-11-01
3.545,1777-12-01
3.089,1778-01-01
4.164,1778-02-01
4.71,1778-03-01
7.591,1778-04-01
11.37,1778-05-01
13.907,1778-06-01
16.03,1778-07-01
14.54,1778-08-01
10.811,1778-09-01
6.5,1778-10-01
5.883,1778-11-01
6.16,1778-12-01
2.924,1779-01-01
7.836,1779-02-01
7.784,1779-03-01
8.872,1779-04-01
11.185,1779-05-01
13.009,1779-06-01
16.153,1779-07-01
16.228,1779-08-01
13.429,1779-09-01
9.784,1779-10-01
5.637,1779-11-01
2.975,1779-12-01
0.082,1780-01-01
2.941,1780-02-01
7.634,1780-03-01
8.266,1780-04-01
12.254,1780-05-01
13.29,1780-06-01
15.259,1780-07-01
16.067,1780-08-01
12.522,1780-09-01
8.521,1780-10-01
4.627,1780-11-01
3.703,1780-12-01
3.135,1781-01-01
5.237,1781-02-01
6.808,1781-03-01
8.247,1781-04-01
10.984,1781-05-01
14.8,1781-06-01
15.411,1781-07-01
14.818,1781-08-01
11.87,1781-09-01
8.931,1781-10-01
6.551,1781-11-01
5.263,1781-12-01
4.365,1782-01-01
1.814,1782-02-01
3.491,1782-03-01
4.899,1782-04-01
7.883,1782-05-01
13.629,1782-06-01
14.436,1782-07-01
13.317,1782-08-01
11.58,1782-09-01
6.78,1782-10-01
2.833,1782-11-01
2.918,1782-12-01
3.384,1783-01-01
4.979,1783-02-01
3.59,1783-03-01
8.889,1783-04-01
9.671,1783-05-01
13.102,1783-06-01
16.602,1783-07-01
14.26,1783-08-01
11.598,1783-09-01
8.446,1783-10-01
5.817,1783-11-01
3.092,1783-12-01
0.932,1784-01-01
1.79,1784-02-01
2.585,1784-03-01
5.32,1784-04-01
11.735,1784-05-01
12.508,1784-06-01
14.312,1784-07-01
13.157,1784-08-01
12.609,1784-09-01
7.04,1784-10-01
5.338,1784-11-01
1.485,1784-12-01
3.432,1785-01-01
0.833,1785-02-01
1.201,1785-03-01
7.639,1785-04-01
10.003,1785-05-01
14.587,1785-06-01
14.453,1785-07-01
12.523,1785-08-01
12.293,1785-09-01
7.62,1785-10-01
6.047,1785-11-01
2.673,1785-12-01
3.202,1786-01-01
3.567,1786-02-01
2.346,1786-03-01
7.25,1786-04-01
9.928,1786-05-01
13.724,1786-06-01
13.222,1786-07-01
13.947,1786-08-01
10.688,1786-09-01
6.739,1786-10-01
3.654,1786-11-01
2.842,1786-12-01
4.292,1787-01-01
6.174,1787-02-01
6.949,1787-03-01
6.442,1787-04-01
9.773,1787-05-01
12.475,1787-06-01
14.011,1787-07-01
14.274,1787-08-01
11.726,1787-09-01
8.932,1787-10-01
4.491,1787-11-01
3.789,1787-12-01
4.2,1788-01-01
4.119,1788-02-01
3.816,1788-03-01
8.977,1788-04-01
11.286,1788-05-01
13.62,1788-06-01
15.399,1788-07-01
14.249,1788-08-01
12.486,1788-09-01
8.648,1788-10-01
5.703,1788-11-01
0.023,1788-12-01
2.316,1789-01-01
5.112,1789-02-01
1.842,1789-03-01
6.64,1789-04-01
11.391,1789-05-01
12.758,1789-06-01
14.682,1789-07-01
15.087,1789-08-01
12.112,1789-09-01
8.214,1789-10-01
5.057,1789-11-01
6.317,1789-12-01
4.743,1790-01-01
6.804,1790-02-01
6.71,1790-03-01
5.508,1790-04-01
10.988,1790-05-01
13.316,1790-06-01
13.552,1790-07-01
13.927,1790-08-01
10.909,1790-09-01
9.077,1790-10-01
5.188,1790-11-01
4.28,1790-12-01
5.06,1791-01-01
4.791,1791-02-01
6.519,1791-03-01
8.59,1791-04-01
9.967,1791-05-01
12.655,1791-06-01
14.132,1791-07-01
14.481,1791-08-01
12.266,1791-09-01
8.094,1791-10-01
5.488,1791-11-01
2.104,1791-12-01
2.716,1792-01-01
4.702,1792-02-01
5.681,1792-03-01
9.347,1792-04-01
9.457,1792-05-01
12.054,1792-06-01
14.221,1792-07-01
14.76,1792-08-01
10.84,1792-09-01
8.288,1792-10-01
6.877,1792-11-01
4.47,1792-12-01
3.241,1793-01-01
5.272,1793-02-01
4.377,1793-03-01
5.852,1793-04-01
9.691,1793-05-01
12.13,1793-06-01
15.634,1793-07-01
13.827,1793-08-01
11.308,1793-09-01
10.406,1793-10-01
6.006,1793-11-01
5.284,1793-12-01
3.174,1794-01-01
6.499,1794-02-01
7.09,1794-03-01
9.229,1794-04-01
9.845,1794-05-01
13.578,1794-06-01
15.791,1794-07-01
13.658,1794-08-01
11.292,1794-09-01
8.523,1794-10-01
5.884,1794-11-01
3.728,1794-12-01
0.002,1795-01-01
1.799,1795-02-01
4.063,1795-03-01
7.711,1795-04-01
9.517,1795-05-01
11.818,1795-06-01
13.646,1795-07-01
14.735,1795-08-01
13.874,1795-09-01
10.522,1795-10-01
4.546,1795-11-01
6.49,1795-12-01
7.094,1796-01-01
5.049,1796-02-01
4.286,1796-03-01
8.957,1796-04-01
9.576,1796-05-01
12.657,1796-06-01
13.926,1796-07-01
14.599,1796-08-01
13.05,1796-09-01
7.653,1796-10-01
4.879,1796-11-01
0.583,1796-12-01
4.785,1797-01-01
5.746,1797-02-01
4.591,1797-03-01
6.922,1797-04-01
10.508,1797-05-01
11.865,1797-06-01
15.223,1797-07-01
14.074,1797-08-01
11.604,1797-09-01
7.737,1797-10-01
5.065,1797-11-01
4.945,1797-12-01
4.328,1798-01-01
4.365,1798-02-01
5.16,1798-03-01
9.421,1798-04-01
11.484,1798-05-01
14.669,1798-06-01
14.805,1798-07-01
14.72,1798-08-01
12.019,1798-09-01
8.85,1798-10-01
4.939,1798-11-01
2.41,1798-12-01
2.354,1799-01-01
2.729,1799-02-01
3.358,1799-03-01
4.873,1799-04-01
8.635,1799-05-01
12.074,1799-06-01
13.48,1799-07-01
12.727,1799-08-01
11.595,1799-09-01
7.64,1799-10-01
5.51,1799-11-01
1.606,1799-12-01
2.873,1800-01-01
2.75,1800-02-01
3.693,1800-03-01
8.425,1800-04-01
10.695,1800-05-01
11.346,1800-06-01
14.792,1800-07-01
14.724,1800-08-01
12.221,1800-09-01
8.459,1800-10-01
5.544,1800-11-01
3.565,1800-12-01
4.529,1801-01-01
4.276,1801-02-01
6.353,1801-03-01
7.43,1801-04-01
10.795,1801-05-01
12.553,1801-06-01
13.588,1801-07-01
14.796,1801-08-01
12.869,1801-09-01
9.448,1801-10-01
4.937,1801-11-01
2.51,1801-12-01
2.339,1802-01-01
3.92,1802-02-01
5.641,1802-03-01
7.795,1802-04-01
9.257,1802-05-01
12.502,1802-06-01
12.615,1802-07-01
15.116,1802-08-01
12.506,1802-09-01
9.271,1802-10-01
5.702,1802-11-01
3.969,1802-12-01
1.803,1803-01-01
2.934,1803-02-01
5.425,1803-03-01
8.178,1803-04-01
9.145,1803-05-01
12.023,1803-06-01
15.641,1803-07-01
14.36,1803-08-01
10.359,1803-09-01
8.311,1803-10-01
4.908,1803-11-01
3.9,1803-12-01
5.596,1804-01-01
2.956,1804-02-01
4.142,1804-03-01
5.95,1804-04-01
11.769,1804-05-01
13.908,1804-06-01
13.754,1804-07-01
13.699,1804-08-01
12.622,1804-09-01
9.228,1804-10-01
5.702,1804-11-01
2.153,1804-12-01
2.531,1805-01-01
3.719,1805-02-01
5.779,1805-03-01
6.93,1805-04-01
8.645,1805-05-01
11.345,1805-06-01
13.841,1805-07-01
14.402,1805-08-01
12.772,1805-09-01
7.153,1805-10-01
5.033,1805-11-01
3.701,1805-12-01
3.782,1806-01-01
4.277,1806-02-01
4.503,1806-03-01
5.545,1806-04-01
10.645,1806-05-01
12.781,1806-06-01
13.692,1806-07-01
14.163,1806-08-01
12.294,1806-09-01
9.036,1806-10-01
6.864,1806-11-01
6.065,1806-12-01
3.116,1807-01-01
3.709,1807-02-01
2.972,1807-03-01
6.434,1807-04-01
9.876,1807-05-01
12.216,1807-06-01
15.216,1807-07-01
15.216,1807-08-01
10.282,1807-09-01
9.653,1807-10-01
3.139,1807-11-01
2.888,1807-12-01
3.01,1808-01-01
2.777,1808-02-01
3.146,1808-03-01
5.079,1808-04-01
12.051,1808-05-01
12.861,1808-06-01
16.211,1808-07-01
14.683,1808-08-01
11.65,1808-09-01
6.5,1808-10-01
5.443,1808-11-01
2.158,1808-12-01
1.123,1809-01-01
5.284,1809-02-01
5.485,1809-03-01
4.477,1809-04-01
11.134,1809-05-01
11.975,1809-06-01
13.049,1809-07-01
13.372,1809-08-01
11.098,1809-09-01
9.191,1809-10-01
4.307,1809-11-01
3.929,1809-12-01
2.227,1810-01-01
3.204,1810-02-01
4.332,1810-03-01
6.99,1810-04-01
7.875,1810-05-01
12.616,1810-06-01
13.254,1810-07-01
13.454,1810-08-01
12.45,1810-09-01
8.431,1810-10-01
4.948,1810-11-01
3.504,1810-12-01
1.603,1811-01-01
4.294,1811-02-01
6.772,1811-03-01
7.307,1811-04-01
11.234,1811-05-01
12.659,1811-06-01
13.992,1811-07-01
13.192,1811-08-01
12.182,1811-09-01
10.468,1811-10-01
6.985,1811-11-01
3.573,1811-12-01
2.871,1812-01-01
4.877,1812-02-01
3.077,1812-03-01
4.674,1812-04-01
9.714,1812-05-01
11.87,1812-06-01
12.785,1812-07-01
13.508,1812-08-01
11.712,1812-09-01
8.354,1812-10-01
4.575,1812-11-01
1.785,1812-12-01
2.179,1813-01-01
5.383,1813-02-01
5.901,1813-03-01
7.105,1813-04-01
10.475,1813-05-01
12.414,1813-06-01
14.134,1813-07-01
13.486,1813-08-01
11.647,1813-09-01
7.326,1813-10-01
4.654,1813-11-01
3.365,1813-12-01
-1.474,1814-01-01
1.731,1814-02-01
2.927,1814-03-01
8.403,1814-04-01
8.237,1814-05-01
11.376,1814-06-01
14.111,1814-07-01
13.319,1814-08-01
11.567,1814-09-01
7.151,1814-10-01
4.908,1814-11-01
4.084,1814-12-01
0.943,1815-01-01
5.515,1815-02-01
6.009,1815-03-01
6.958,1815-04-01
10.643,1815-05-01
12.275,1815-06-01
13.387,1815-07-01
13.534,1815-08-01
11.676,1815-09-01
8.661,1815-10-01
3.872,1815-11-01
2.078,1815-12-01
2.983,1816-01-01
2.223,1816-02-01
3.603,1816-03-01
5.678,1816-04-01
8.865,1816-05-01
11.266,1816-06-01
12.256,1816-07-01
12.163,1816-08-01
10.604,1816-09-01
7.979,1816-10-01
3.935,1816-11-01
2.928,1816-12-01
4.618,1817-01-01
6.017,1817-02-01
4.952,1817-03-01
6.107,1817-04-01
7.954,1817-05-01
12.825,1817-06-01
12.728,1817-07-01
12.2,1817-08-01
11.909,1817-09-01
5.644,1817-10-01
7.557,1817-11-01
2.063,1817-12-01
3.983,1818-01-01
2.746,1818-02-01
4.137,1818-03-01
6.124,1818-04-01
10.222,1818-05-01
14.493,1818-06-01
15.602,1818-07-01
13.687,1818-08-01
11.805,1818-09-01
10.127,1818-10-01
8.197,1818-11-01
3.807,1818-12-01
4.228,1819-01-01
3.808,1819-02-01
5.55,1819-03-01
7.321,1819-04-01
10.305,1819-05-01
12.32,1819-06-01
14.816,1819-07-01
15.749,1819-08-01
12.193,1819-09-01
8.062,1819-10-01
3.964,1819-11-01
1.96,1819-12-01
0.258,1820-01-01
3.948,1820-02-01
4.607,1820-03-01
8.166,1820-04-01
10.411,1820-05-01
11.982,1820-06-01
13.977,1820-07-01
13.317,1820-08-01
11.1,1820-09-01
6.998,1820-10-01
5.114,1820-11-01
4.087,1820-12-01
3.872,1821-01-01
3.634,1821-02-01
5.616,1821-03-01
8.606,1821-04-01
8.684,1821-05-01
11.101,1821-06-01
13.198,1821-07-01
14.045,1821-08-01
13.028,1821-09-01
9.352,1821-10-01
7.31,1821-11-01
5.881,1821-12-01
4.733,1822-01-01
6.024,1822-02-01
7.565,1822-03-01
7.605,1822-04-01
11.298,1822-05-01
14.781,1822-06-01
14.201,1822-07-01
13.775,1822-08-01
10.894,1822-09-01
9.175,1822-10-01
7.431,1822-11-01
2.074,1822-12-01
0.573,1823-01-01
2.942,1823-02-01
5.079,1823-03-01
5.995,1823-04-01
10.827,1823-05-01
11.385,1823-06-01
12.956,1823-07-01
13.521,1823-08-01
11.31,1823-09-01
7.614,1823-10-01
6.771,1823-11-01
4.568,1823-12-01
4.615,1824-01-01
4.711,1824-02-01
4.618,1824-03-01
6.946,1824-04-01
9.501,1824-05-01
12.612,1824-06-01
14.632,1824-07-01
13.965,1824-08-01
12.395,1824-09-01
8.002,1824-10-01
6.205,1824-11-01
4.977,1824-12-01
4.441,1825-01-01
4.219,1825-02-01
4.946,1825-03-01
7.88,1825-04-01
10.238,1825-05-01
12.803,1825-06-01
15.434,1825-07-01
14.747,1825-08-01
13.433,1825-09-01
9.467,1825-10-01
5.006,1825-11-01
4.758,1825-12-01
1.158,1826-01-01
5.941,1826-02-01
5.817,1826-03-01
7.535,1826-04-01
10.377,1826-05-01
14.294,1826-06-01
15.966,1826-07-01
15.5,1826-08-01
12.327,1826-09-01
9.877,1826-10-01
4.905,1826-11-01
5.809,1826-12-01
2.178,1827-01-01
1.412,1827-02-01
5.33,1827-03-01
7.744,1827-04-01
10.635,1827-05-01
12.84,1827-06-01
14.83,1827-07-01
13.151,1827-08-01
12.137,1827-09-01
9.77,1827-10-01
5.815,1827-11-01
6.041,1827-12-01
4.391,1828-01-01
4.52,1828-02-01
6.016,1828-03-01
7.223,1828-04-01
10.323,1828-05-01
13.534,1828-06-01
14.409,1828-07-01
13.502,1828-08-01
12.53,1828-09-01
9.387,1828-10-01
7.03,1828-11-01
6.47,1828-12-01
0.796,1829-01-01
3.867,1829-02-01
4.39,1829-03-01
5.808,1829-04-01
10.884,1829-05-01
12.962,1829-06-01
13.81,1829-07-01
12.468,1829-08-01
10.096,1829-09-01
7.538,1829-10-01
4.318,1829-11-01
1.61,1829-12-01
1.049,1830-01-01
2.437,1830-02-01
6.754,1830-03-01
8.161,1830-04-01
10.427,1830-05-01
11.31,1830-06-01
14.356,1830-07-01
12.573,1830-08-01
10.839,1830-09-01
9.235,1830-10-01
6.493,1830-11-01
2.319,1830-12-01
2.19,1831-01-01
4.524,1831-02-01
6.315,1831-03-01
7.743,1831-04-01
9.811,1831-05-01
13.325,1831-06-01
14.702,1831-07-01
14.757,1831-08-01
11.823,1831-09-01
10.951,1831-10-01
5.161,1831-11-01
5.458,1831-12-01
3.582,1832-01-01
4.045,1832-02-01
5.227,1832-03-01
7.548,1832-04-01
9.273,1832-05-01
12.926,1832-06-01
13.715,1832-07-01
13.553,1832-08-01
11.7,1832-09-01
9.362,1832-10-01
5.662,1832-11-01
4.747,1832-12-01
1.964,1833-01-01
5.092,1833-02-01
3.616,1833-03-01
6.591,1833-04-01
12.57,1833-05-01
12.551,1833-06-01
14.022,1833-07-01
12.417,1833-08-01
10.994,1833-09-01
9.023,1833-10-01
